DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/2/2020 21:09,6.43,"3,892", , , , , 
2/2/2020 21:14,6.52,"5,734", , , , , 
2/2/2020 21:19,6.56,"4,929", , , , , 
2/2/2020 21:24,6.43,"2,712", , , , , 
2/2/2020 21:29,6.39,"2,157", , , , , 
2/2/2020 21:34,6.39,"2,180", , , , , 
2/2/2020 21:39,6.35,"1,792", , , , , 
2/2/2020 21:44,6.3,"1,198", , , , , 
2/2/2020 21:49,6.26,723, , , , , 
2/2/2020 21:54,6.35,481, , , , , 
2/2/2020 21:59,6.35,251, , , , , 
2/2/2020 22:04,6.35,151, , , , , 
2/2/2020 22:09,6.35,58, , , , , 
2/2/2020 22:14,6.39,16, , , , , 
2/2/2020 22:19,6.43,10, , , , , 
2/2/2020 22:24,6.39,5, , , , , 
2/2/2020 22:29,6.39,3, , , , , 
2/2/2020 22:34,6.43,2, , , , , 
2/2/2020 22:39,6.39,2, , , , , 
2/2/2020 22:44,6.48,2, , , , , 
2/2/2020 22:49,6.39,2, , , , , 
2/2/2020 22:54,6.35,2, , , , , 
2/2/2020 22:59,6.35,0, , , , , 
2/2/2020 23:04,6.43,0, , , , , 
2/2/2020 23:09,6.52,0, , , , , 
2/2/2020 23:14,6.56,0, , , , , 
2/2/2020 23:19,6.56,0, , , , , 
2/2/2020 23:24,6.56,0, , , , , 
2/2/2020 23:29,6.56,0, , , , , 
2/2/2020 23:34,6.6,0, , , , , 
2/2/2020 23:39,6.65,0, , , , , 
2/2/2020 23:44,6.65,0, , , , , 
2/2/2020 23:49,6.65,0, , , , , 
2/2/2020 23:54,6.65,0, , , , , 
2/2/2020 23:59,6.65,0, , , , , 
2/3/2020 0:04,6.65,0, , , , , 
2/3/2020 0:09,6.69,0, , , , , 
2/3/2020 0:14,6.69,0, , , , , 
2/3/2020 0:19,6.73,0, , , , , 
2/3/2020 0:24,6.73,0, , , , , 
2/3/2020 0:29,6.73,0, , , , , 
2/3/2020 0:34,6.73,0, , , , , 
2/3/2020 0:39,6.69,0, , , , , 
2/3/2020 0:44,6.69,0, , , , , 
2/3/2020 0:49,6.78,0, , , , , 
2/3/2020 0:54,6.78,0, , , , , 
2/3/2020 0:59,6.73,0, , , , , 
2/3/2020 1:04,6.73,0, , , , , 
2/3/2020 1:09,6.78,0, , , , , 
2/3/2020 1:14,6.73,0, , , , , 
2/3/2020 1:19,6.73,1, , , , , 
2/3/2020 1:24,6.73,0, , , , , 
2/3/2020 1:29,6.73,0, , , , , 
2/3/2020 1:34,6.78,0, , , , , 
2/3/2020 1:39,6.78,0, , , , , 
2/3/2020 1:44,6.73,0, , , , , 
2/3/2020 1:49,6.86,0, , , , , 
2/3/2020 1:54,6.78,0, , , , , 
2/3/2020 1:59,6.82,0, , , , , 
2/3/2020 2:04,6.82,0, , , , , 
2/3/2020 2:09,6.78,0, , , , , 
2/3/2020 2:14,6.78,0, , , , , 
2/3/2020 2:19,6.82,0, , , , , 
2/3/2020 2:24,6.82,0, , , , , 
2/3/2020 2:29,6.82,0, , , , , 
2/3/2020 2:34,6.86,0, , , , , 
2/3/2020 2:39,6.86,0, , , , , 
2/3/2020 2:44,6.82,1, , , , , 
2/3/2020 2:49,6.82,1, , , , , 
2/3/2020 2:54,6.82,1, , , , , 
2/3/2020 2:59,6.86,1, , , , , 
2/3/2020 3:04,6.86,0, , , , , 
2/3/2020 3:09,6.82,0, , , , , 
2/3/2020 3:14,6.82,0, , , , , 
2/3/2020 3:19,6.82,0, , , , , 
2/3/2020 3:24,6.82,0, , , , , 
2/3/2020 3:29,6.9,0, , , , , 
2/3/2020 3:34,6.95,0, , , , , 
2/3/2020 3:39,6.9,0, , , , , 
2/3/2020 3:44,6.95,0, , , , , 
2/3/2020 3:49,6.95,0, , , , , 
2/3/2020 3:54,6.99,0, , , , , 
2/3/2020 3:59,6.95,0, , , , , 
