DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/3/2020 2:08,7.5,1, , 
2/3/2020 2:13,7.5,1, , 
2/3/2020 2:18,7.55,1, , 
2/3/2020 2:23,7.5,1, , 
2/3/2020 2:28,7.5,1, , 
2/3/2020 2:33,7.5,1, , 
2/3/2020 2:38,7.5,1, , 
2/3/2020 2:43,7.46,1, , 
2/3/2020 2:48,7.5,1, , 
2/3/2020 2:53,7.55,1, , 
2/3/2020 2:58,7.46,1, , 
2/3/2020 3:03,7.5,1, , 
2/3/2020 3:08,7.5,0, , 
2/3/2020 3:13,7.55,0, , 
2/3/2020 3:18,7.5,0, , 
2/3/2020 3:23,7.5,0, , 
2/3/2020 3:28,7.55,0, , 
2/3/2020 3:33,7.5,0, , 
2/3/2020 3:38,7.55,0, , 
2/3/2020 3:43,7.59,0, , 
2/3/2020 3:48,7.72,0, , 
2/3/2020 3:53,7.76,0, , 
2/3/2020 3:58,7.72,0, , 
2/3/2020 4:03,7.76,0, , 
2/3/2020 4:08,7.72,0, , 
2/3/2020 4:13,7.72,0, , 
2/3/2020 4:18,7.72,0, , 
2/3/2020 4:23,7.63,0, , 
2/3/2020 4:28,7.68,0, , 
2/3/2020 4:33,7.59,0, , 
2/3/2020 4:38,7.59,0, , 
2/3/2020 4:43,7.59,0, , 
2/3/2020 4:48,7.55,0, , 
2/3/2020 4:53,7.5,0, , 
2/3/2020 4:58,7.55,0, , 
2/3/2020 5:03,7.55,0, , 
2/3/2020 5:08,7.55,0, , 
2/3/2020 5:13,7.55,0, , 
2/3/2020 5:18,7.55,0, , 
2/3/2020 5:23,7.55,0, , 
2/3/2020 5:28,7.5,0, , 
2/3/2020 5:33,7.5,0, , 
2/3/2020 5:38,7.5,0, , 
2/3/2020 5:43,7.5,0, , 
2/3/2020 5:48,7.46,0, , 
2/3/2020 5:53,7.46,0, , 
2/3/2020 5:58,7.46,0, , 
2/3/2020 6:03,7.5,0, , 
2/3/2020 6:08,7.46,0, , 
2/3/2020 6:13,7.55,0, , 
2/3/2020 6:18,7.55,0, , 
2/3/2020 6:23,7.5,0, , 
2/3/2020 6:28,7.59,0, , 
2/3/2020 6:33,7.55,0, , 
2/3/2020 6:38,7.55,0, , 
2/3/2020 6:43,7.55,0, , 
2/3/2020 6:48,7.59,0, , 
2/3/2020 6:53,7.59,0, , 
2/3/2020 6:58,7.59,0, , 
2/3/2020 7:03,7.59,0, , 
2/3/2020 7:08,7.59,0, , 
2/3/2020 7:13,7.59,0, , 
2/3/2020 7:18,7.5,0, , 
2/3/2020 7:23,7.55,0, , 
2/3/2020 7:28,7.59,0, , 
2/3/2020 7:33,7.55,0, , 
2/3/2020 7:38,7.59,0, , 
2/3/2020 7:43,7.59,0, , 
2/3/2020 7:48,7.55,0, , 
2/3/2020 7:53,7.59,0, , 
2/3/2020 7:58,7.59,0, , 
2/3/2020 8:03,7.59,0, , 
2/3/2020 8:08,7.59,0, , 
2/3/2020 8:13,7.55,0, , 
2/3/2020 8:18,7.59,0, , 
2/3/2020 8:23,7.55,0, , 
2/3/2020 8:28,7.59,0, , 
2/3/2020 8:33,7.59,0, , 
2/3/2020 8:38,7.59,0, , 
2/3/2020 8:43,7.59,0, , 
2/3/2020 8:48,7.59,0, , 
2/3/2020 8:53,7.63,0, , 
2/3/2020 8:58,7.63,0, , 
2/3/2020 9:03,7.63,0, , 
2/3/2020 9:08,7.63,0, , 
2/3/2020 9:13,7.59,0, , 
2/3/2020 9:18,7.63,0, , 
2/3/2020 9:23,7.63,0, , 
2/3/2020 9:28,7.63,0, , 
2/3/2020 9:33,7.68,0, , 
2/3/2020 9:38,7.63,0, , 
2/3/2020 9:43,7.68,0, , 
2/3/2020 9:48,7.63,0, , 
2/3/2020 9:53,7.63,0, , 
2/3/2020 9:58,7.63,0, , 
2/3/2020 10:03,7.68,0, , 
2/3/2020 10:08,7.68,0, , 
2/3/2020 10:13,7.63,0, , 
2/3/2020 10:18,7.63,0, , 
2/3/2020 10:23,7.63,0, , 
2/3/2020 10:28,7.63,0, , 
2/3/2020 10:33,7.63,0, , 
2/3/2020 10:38,7.63,0, , 
2/3/2020 10:43,7.59,0, , 
2/3/2020 10:48,7.59,0, , 
2/3/2020 10:53,7.63,0, , 
2/3/2020 10:58,7.59,0, , 
2/3/2020 11:03,7.59,0, , 
2/3/2020 11:08,7.55,0, , 
2/3/2020 11:13,7.42,0, , 
2/3/2020 11:18,7.2,0, , 
2/3/2020 11:23,7.12,0, , 
2/3/2020 11:28,6.9,0, , 
2/3/2020 11:33,6.86,0, , 
2/3/2020 11:38,6.73,1, , 
2/3/2020 11:43,6.26,58, , 
2/3/2020 11:48,6.13,70, , 
2/3/2020 11:53,7.5,66, , 
2/3/2020 11:58,7.93,73, , 
2/3/2020 12:03,8.06,170, , 
2/3/2020 12:08,8.02,242, , 
2/3/2020 12:13,8.02,222, , 
2/3/2020 12:18,7.98,161, , 
2/3/2020 12:23,8.02,240, , 
2/3/2020 12:28,8.02,241, , 
2/3/2020 12:33,8.02,240, , 
2/3/2020 12:38,7.98,320, , 
2/3/2020 12:43,7.93,368, , 
2/3/2020 12:48,7.93,436, , 
2/3/2020 12:53,7.98,548, , 
2/3/2020 12:58,7.98,661, , 
2/3/2020 13:03,7.93,884, , 
2/3/2020 13:08,7.98,"2,353", , 
2/3/2020 13:13,7.98,"3,059", , 
2/3/2020 13:18,8.06,"5,460", , 
2/3/2020 13:23,8.11,"5,865", , 
2/3/2020 13:28,8.19,"7,503", , 
2/3/2020 13:33,8.15,"6,886", , 
2/3/2020 13:38,8.28,"8,289", , 
2/3/2020 13:43,8.11,"8,315", , 
2/3/2020 13:48,8.28,"6,828", , 
2/3/2020 13:53,8.75,"9,613", , 
2/3/2020 13:58,8.28,"8,991", , 
2/3/2020 14:03,8.19,"8,522", , 
2/3/2020 14:08,8.15,"9,859", , 
2/3/2020 14:13,8.28,"10,834", , 
2/3/2020 14:18,8.41,"12,662", , 
2/3/2020 14:23,8.36,"11,310", , 
2/3/2020 14:28,8.45,"12,349", , 
2/3/2020 14:33,8.53,"11,039", , 
2/3/2020 14:38,8.53,"13,215", , 
2/3/2020 14:43,8.58,"16,727", , 
2/3/2020 14:48,8.71,"11,720", , 
2/3/2020 14:53,8.79,"8,632", , 
2/3/2020 14:58,8.92,"6,377", , 
2/3/2020 15:03,8.88,"9,016", , 
2/3/2020 15:08,8.96,"7,204", , 
2/3/2020 15:13,9.14,"8,937", , 
2/3/2020 15:18,9.39,"8,899", , 
2/3/2020 15:23,9.82,"9,677", , 
2/3/2020 15:28,10.29,"9,034", , 
2/3/2020 15:33,10.64,"8,712", , 
2/3/2020 15:38,11.24,"10,307", , 
2/3/2020 15:43,11.88,"10,301", , 
2/3/2020 15:48,12.27,"11,971", , 
2/3/2020 15:53,12.48,"7,145", , 
2/3/2020 15:58,12.74,"12,795", , 
2/3/2020 16:03,12.91,"12,846", , 
2/3/2020 16:08,12.95,"19,804", , 
2/3/2020 16:13,13.25,"15,478", , 
2/3/2020 16:18,13.34,"18,570", , 
2/3/2020 16:23,13.43,"15,391", , 
2/3/2020 16:28,13.47,"13,860", , 
2/3/2020 16:33,14.58,"12,344", , 
2/3/2020 16:38,14.2,"12,713", , 
2/3/2020 16:43,15.66,"52,900", , 
2/3/2020 16:48,16.3,"22,610", , 
2/3/2020 16:53,18.14,"89,661", , 
2/3/2020 16:58,15.53,"27,832", , 
2/3/2020 17:03,15.57,"35,113", , 
2/3/2020 17:08,14.5,"8,166", , 
2/3/2020 17:13,15.18,"7,386", , 
2/3/2020 17:18,15.14,"28,580", , 
2/3/2020 17:23,15.31,"25,928", , 
2/3/2020 17:28,15.36,"23,337", , 
2/3/2020 17:33,15.44,"15,549", , 
2/3/2020 17:38,15.36,"14,397", , 
2/3/2020 17:43,15.36,"21,565", , 
2/3/2020 17:48,15.44,"14,520", , 
2/3/2020 17:53,15.87,"22,036", , 
2/3/2020 17:58,15.66,"28,365", , 
2/3/2020 18:03,15.66,"20,188", , 
2/3/2020 18:08,15.66,"22,559", , 
2/3/2020 18:13,15.53,"15,048", , 
2/3/2020 18:18,15.57,"14,044", , 
2/3/2020 18:23,15.66,"17,720", , 
2/3/2020 18:28,15.74,"17,341", , 
2/3/2020 18:33,15.7,"17,920", , 
2/3/2020 18:38,15.7,"15,037", , 
2/3/2020 18:43,15.87,"17,357", , 
2/3/2020 18:48,15.31,"10,680", , 
2/3/2020 18:53,15.27,"7,990", , 
2/3/2020 18:58,15.57,"25,805", , 
2/3/2020 19:03,15.06,"16,876", , 
2/3/2020 19:08,15.01,"9,347", , 
2/3/2020 19:13,15.48,"16,532", , 
2/3/2020 19:18,15.91,"22,764", , 
2/3/2020 19:23,16.04,"21,187", , 
2/3/2020 19:28,16.04,"22,098", , 
2/3/2020 19:33,16.21,"49,029", , 
2/3/2020 19:38,16.08,"23,153", , 
2/3/2020 19:43,15.96,"60,293", , 
2/3/2020 19:48,15.01,"8,932", , 
2/3/2020 19:53,15.57,"33,014", , 
2/3/2020 19:58,15.31,"20,096", , 
2/3/2020 20:03,14.97,"31,089", , 
2/3/2020 20:08,13.85,"14,694", , 
2/3/2020 20:13,12.78,"2,717", , 
2/3/2020 20:18,12.57,"2,688", , 
2/3/2020 20:23,12.35,"2,678", , 
2/3/2020 20:28,12.44,"7,081", , 
2/3/2020 20:33,12.31,"5,990", , 
2/3/2020 20:38,12.14,"2,697", , 
2/3/2020 20:43,12.14,"3,153", , 
