cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,15.2,9.06,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,44.8,24.6,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,15,9.43,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,a,>0&<200,152,6,0.776503022,2.22867365,14.6,8.74,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,b,>0&<200,152,6,0.776503022,2.22867365,15.4,8.84,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,dil,N,65%,c,c,>0&<200,152,6,0.776503022,2.22867365,15.7,9.1,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.776503022,2.22867365,46.5,27,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,47.9,27.2,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,46.7,26.5,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,49.9,28.9,1.03,1.0035,NaN,NaN,NaN,NaN,NaN,NaN
