cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.813376915,2.21629417,50.94,28.3,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.813376915,2.21629417,39.42,21.9,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.813376915,2.21629417,43.02,23.9,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.813376915,2.21629417,41.4,23,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.813376915,2.21629417,204,110,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.813376915,2.21629417,215,109,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.813376915,2.21629417,197,107,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.813376915,2.21629417,169,82.7,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.813376915,2.21629417,168,84.2,0.9545,0.939,,,,,,,,
en661,13',16-17',,,2/6/2021 17:00,2/7/2021 18:12,,,,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.813376915,2.21629417,165,85.2,0.9545,0.939,,,,,,,,
